index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
535,1.07,-8.36576452645779e-10,-0.10060109954909295,0.1473423951357326,-0.0468413396361783,2.6955515921846285e-11,0.0073850907869107375,5.000116912173466,1,0.00011691217346587734,9.622777590680384e-11,0.0002145405336199868,3.2088438236946137e-09,0.167247878496748
536,1.072,-8.381404416200906e-10,-0.10060177684281725,0.14733686728669634,-0.04683547421120968,2.70043518420275e-11,0.007399047420441733,5.0001475735996666,1,0.0001475735996665506,1.1128952365186894e-10,0.00021494155884514007,3.2088923230992614e-09,0.1672342615810084
537,1.074,-8.39704430594402e-10,-0.10060245413654152,0.14733133943766005,-0.046829608786241046,2.7053187762208714e-11,0.007413004053972731,5.000177034045333,1,0.00017703404533264688,1.2576670406484182e-10,0.00021534258348571147,3.2089408049106823e-09,0.16722064466526848
538,1.076,-8.412684195687135e-10,-0.10060313143026582,0.14732581158862376,-0.04682374336127243,2.710202368238993e-11,0.0074269606875037265,5.000205293468445,1,0.00020529346844533336,1.3965896604543343e-10,0.00021574360754135407,3.208989313361335e-09,0.16720702774953042
539,1.078,-8.428324085430249e-10,-0.10060380872399009,0.14732028373958753,-0.046817877936303806,2.715085960257114e-11,0.007440917321034721,5.0002323518592044,1,0.00023235185920444934,1.52966063790142e-10,0.0002161446310118276,3.209037733096117e-09,0.16719341083379163
540,1.08,-8.443963975173365e-10,-0.10060448601771439,0.1473147558905512,-0.04681201251133518,2.7199695522752355e-11,0.007454873954565718,5.000258209213955,1,0.0002582092139551406,1.6568753402556167e-10,0.00021654565389666802,3.209086293954717e-09,0.16717979391805232
541,1.082,-8.459603864916479e-10,-0.10060516331143868,0.14730922804151494,-0.04680614708636656,2.7248531442933564e-11,0.007468830588096713,5.000282865511495,1,0.000282865511494812,1.778232411041947e-10,0.00021694667619574177,3.2091347435449384e-09,0.1671661770023133
542,1.084,-8.475243754659595e-10,-0.10060584060516295,0.14730370019247868,-0.046800281661397936,2.729736736311478e-11,0.007482787221627709,5.000306320726794,1,0.00030632072679370737,1.8937277567455992e-10,0.0002173476979086403,3.209183217168187e-09,0.16715256008657464
543,1.086,-8.490883644402707e-10,-0.10060651789888725,0.1472981723434424,-0.04679441623642931,2.734620328329599e-11,0.0074967438551587036,5.0003285748334045,1,0.00032857483340453797,2.003357988835007e-10,0.00021774871903502537,3.2092317287005656e-09,0.16713894317083589
544,1.088,-8.506523534145822e-10,-0.10060719519261152,0.14729264449440613,-0.046788550811460695,2.7395039203477205e-11,0.0075107004886897,5.000349627848875,1,0.00034962784887504483,2.1071206311038474e-10,0.0002181497395746489,3.2092802130917846e-09,0.16712532625509582
